category,total_importance,avg_importance,count,total_pct,best_rank
rolling,105311.95,1755.2,60,77.24,1
historical,23703.68,1077.44,22,17.4,6
lines,3602.23,720.45,5,2.64,54
matchup,1626.28,813.14,2,1.19,61
other,1295.14,647.57,2,0.95,55
defense,794.64,794.64,1,0.58,65
