feature,importance,rank,importance_pct,cumulative_pct,category
rec_yac__player_std5,9.12545108795166,97,0.43,87.83,rolling
catch_rate__player_hist_z,9.081510543823242,98,0.43,88.26,historical
rec_pass_rating__player_std5,9.054521560668945,99,0.43,88.69,rolling
rec_adot__player_std5,9.004962921142578,100,0.43,89.12,rolling
rec__player_std3,8.974828720092773,101,0.43,89.55,rolling
catch_rate__player_roll5,8.847713470458984,102,0.42,89.97,rolling
rec_yac__player_std3,8.814459800720215,103,0.42,90.39,rolling
rec_yac__player_std10,8.788676261901855,104,0.42,90.81,rolling
rec_yds__player_std5,8.714533805847168,105,0.41,91.22,rolling
rec_td_rate__hist,8.714315414428711,106,0.41,91.63,historical
is_te,8.683709144592285,107,0.41,92.04,indicators
rec_pass_rating__player_std10,8.665958404541016,108,0.41,92.45,rolling
game_total,8.611446380615234,109,0.41,92.86,lines
rec_air_yds_per_rec__player_hist,8.609905242919922,110,0.41,93.27,historical
catch_rate__player_roll10,8.367904663085938,111,0.4,93.67,rolling
catch_rate__player_std5,8.346041679382324,112,0.4,94.07,rolling
rec_drop_pct__player_roll5,8.346027374267578,113,0.4,94.47,rolling
catch_rate__player_std3,8.234647750854492,114,0.39,94.86,rolling
days_rest,8.231575965881348,115,0.39,95.25,other
rec_adot__player_hist_z,8.18432903289795,116,0.39,95.64,historical
rec_adot__player_std10,8.161661148071289,117,0.39,96.03,rolling
rec_air_yds__player_std10,8.124088287353516,118,0.39,96.42,rolling
rec_air_yds__player_roll3,8.0040283203125,119,0.38,96.8,rolling
yds_per_rec__hist,7.96590518951416,120,0.38,97.18,historical
rec_air_yds_per_rec__player_roll3,7.791836738586426,121,0.37,97.55,rolling
catch_rate__player_roll3,7.776414394378662,122,0.37,97.92,rolling
rec_air_yds_per_rec__player_std10,7.679862976074219,123,0.36,98.28,rolling
catch_rate__player_std10,7.212141036987305,124,0.34,98.62,rolling
rec_target_int__player_roll3,7.15879487991333,125,0.34,98.96,rolling
rec_td__player_std3,6.614531993865967,126,0.31,99.27,rolling
is_favorite,6.281135082244873,127,0.3,99.57,lines
catch_rate__player_hist,5.466924667358398,128,0.26,99.83,historical
catch_rate__hist,3.9855995178222656,129,0.19,100.02,historical
