feature,importance,rank,importance_pct,cumulative_pct,category
pass_pressured_pct__player_hist_z,2895.306884765625,156,0.19,92.15,historical
pass_poor_throw_pct__player_roll3,2856.9892578125,157,0.19,92.34,rolling
pass_blitzed__player_roll5,2855.715576171875,158,0.19,92.53,rolling
pass_air_yds_per_cmp__player_roll3,2825.20166015625,159,0.19,92.72,rolling
pass_drop_pct__player_roll10,2793.385009765625,160,0.18,92.9,rolling
pass_air_yds_per_att__player_hist,2783.55908203125,161,0.18,93.08,historical
opp_def_qb_hurries_per_game,2778.209228515625,162,0.18,93.26,defense
pass_pressured_pct__player_std3,2715.187744140625,163,0.18,93.44,rolling
qb_rush_td__player_std5,2676.09033203125,164,0.18,93.62,rolling
opp_def_blitzes_per_game,2618.952392578125,165,0.17,93.79,defense
pass_air_yds__player_roll10,2615.671142578125,166,0.17,93.96,rolling
pass_cmp__player_hist_z,2614.896728515625,167,0.17,94.13,historical
pass_sacked__player_hist,2583.462890625,168,0.17,94.3,historical
pass_poor_throw_pct__player_std3,2574.503173828125,169,0.17,94.47,rolling
yds_per_att__hist,2544.356689453125,170,0.17,94.64,historical
pass_sacked__player_std5,2501.07177734375,171,0.16,94.8,rolling
pass_air_yds_per_att__player_std3,2455.189453125,172,0.16,94.96,rolling
pass_air_yds_per_cmp__player_std3,2437.85009765625,173,0.16,95.12,rolling
pass_yac_per_cmp__player_std5,2430.93603515625,174,0.16,95.28,rolling
yds_per_cmp__hist,2413.80029296875,175,0.16,95.44,historical
pass_sacked__player_std3,2406.996337890625,176,0.16,95.6,rolling
pass_hits__player_hist_z,2340.887451171875,177,0.15,95.75,historical
pass_cmp__player_roll10,2337.4208984375,178,0.15,95.9,rolling
pass_yds__player_hist_z,2274.186767578125,179,0.15,96.05,historical
opp_def_sacks_per_game,2207.16748046875,180,0.14,96.19,defense
pass_yac_per_cmp__player_roll5,2204.34326171875,181,0.14,96.33,rolling
pass_pressured_pct__player_std5,2196.606201171875,182,0.14,96.47,rolling
pass_air_yds_per_att__player_roll3,2172.713623046875,183,0.14,96.61,rolling
pass_tgt_yds_per_att__player_roll3,2043.8037109375,184,0.13,96.74,rolling
opp_def_pressures_per_game,2042.6510009765625,185,0.13,96.87,defense
pass_poor_throw_pct__player_std10,2034.9039306640625,186,0.13,97.0,rolling
pass_hurried__player_roll5,2021.656494140625,187,0.13,97.13,rolling
pass_pressured_pct__player_roll3,1982.0072021484375,188,0.13,97.26,rolling
